unixTime,bid,ask,tradeSize
1499562502,243.26,243.34,5
1499562503,243.26,243.33,5
1499562504,243.26,243.31,5
1499562505,243.26,243.31,5
1499562506,243.28,243.31,5
1499562507,243.28,243.31,5
1499562508,243.3,243.31,5
1499562509,243.3,243.31,5
1499562510,243.32,243.39,5
1499562511,243.34,243.39,5
1499562512,243.36,243.39,5
1499562513,243.38,243.39,5
1499562514,243.31,243.39,5
1499562515,243.31,243.39,5
1499562516,243.33,243.39,5
1499562517,243.34,243.39,5
1499562518,243.34,243.39,5
1499562519,243.32,243.4,5
1499562520,243.31,243.4,5
1499562521,243.31,243.4,5
1499562522,243.32,243.4,5
1499562523,243.31,243.4,5
1499562524,243.32,243.4,5
1499562525,243.31,243.4,5
1499562526,243.33,243.4,5
1499562527,243.35,243.4,5
1499562528,243.36,243.4,5
1499562529,243.38,243.4,5
1499562530,243.38,243.4,5
1499562531,243.32,243.38,5
1499562532,243.33,243.38,5
1499562533,243.35,243.37,5
1499562534,243.31,243.38,5
1499562535,243.36,243.38,5
1499562536,243.37,243.38,5
1499562537,243.39,243.4,5
1499562538,243.39,243.4,5
1499562539,243.39,243.4,5
1499562540,243.39,243.41,5
1499562541,243.4,243.41,5
1499562542,243.32,243.41,5
1499562543,243.4,243.41,5
1499562544,243.4,243.41,5
1499562545,243.41,243.43,5
1499562546,243.42,243.43,5
1499562547,243.42,243.43,5
1499562548,243.41,243.43,5
1499562549,243.4,243.43,5
1499562550,243.42,243.43,5
1499562551,243.42,243.43,5
1499562552,243.42,243.43,5
1499562553,243.42,243.43,5
1499562554,243.42,243.43,5
1499562555,243.42,243.43,5
1499562556,243.42,243.43,5
1499562557,243.42,243.43,5
1499562558,243.42,243.43,5
1499562559,243.42,243.43,5
1499562560,243.42,243.43,5
1499562561,243.42,243.43,5
1499562562,243.42,243.43,5
1499562563,243.43,243.45,5
1499562564,243.43,243.45,5
1499562565,243.43,243.45,5
1499562566,243.43,243.45,5
1499562567,243.43,243.45,5
1499562569,243.41,243.44,5
1499562570,243.42,243.43,5
1499562571,243.42,243.43,5
1499562572,243.42,243.43,5
1499562573,243.45,243.53,5
1499562574,243.48,243.6180014,5
1499562575,243.49,243.51,5
1499562576,243.5,243.51,5
1499562577,243.48,243.51,5
1499562578,243.48,243.51,5
1499562579,243.49,243.51,5
1499562580,243.49,243.51,5
1499562581,243.46,243.51,5
1499562582,243.48,243.51,5
1499562583,243.48,243.51,5
1499562584,243.54,243.5796003,5
1499562585,243.56,243.6756031,5
1499562586,243.56,243.5988008,5
1499562587,243.56,243.5988008,5
1499562588,243.56,243.5988008,5
1499562594,243.56,243.5988008,5
1499562595,243.54,243.5988008,5
1499562596,243.56,243.5988008,5
1499562598,243.56,243.5988008,5
1499562599,243.56,243.5988008,5
1499562601,243.56,243.5988008,5
1499562602,243.56,243.5988008,5
1499562603,243.56,243.5988008,5
1499562604,243.56,243.5988008,5
1499562605,243.56,243.5988008,5
1499562606,243.67,243.68,5
1499562607,243.67,243.77,5
1499562608,243.67,243.77,5
1499562609,243.67,243.77,5
1499562610,243.67,243.69,5
1499562611,243.67,243.69,5
1499562612,243.67,243.69,5
1499562613,243.67,243.69,5
1499562614,243.67,243.69,5
1499562615,243.68,243.69,5
1499562616,243.68,243.69,5
1499562617,243.68,243.69,5
1499562618,243.68,243.69,5
1499562619,243.68,243.69,5
1499562620,243.68,243.69,5
1499562621,243.68,243.69,5
1499562623,243.68,243.69,5
1499562624,243.68,243.69,5
1499562626,243.68,243.69,5
1499562627,243.68,243.69,5
1499562628,243.68,243.69,5
1499562629,243.68,243.69,5
1499562630,243.68,243.69,5
1499562631,243.68,243.69,5
1499562632,243.68,243.69,5
1499562633,243.68,243.69,5
1499562634,243.68,243.69,5
1499562635,243.68,243.69,5
1499562636,243.68,243.69,5
1499562637,243.68,243.69,5
1499562638,243.68,243.69,5
1499562639,243.68,243.69,5
1499562640,243.68,243.69,5
1499562641,243.68,243.69,5
1499562642,243.68,243.69,5
1499562643,243.68,243.69,5
1499562644,243.68,243.69,5
1499562645,243.68,243.69,5
1499562646,243.68,243.69,5
1499562648,243.68,243.69,5
1499562649,243.68,243.69,5
1499562650,243.68,243.69,5
1499562651,243.68,243.69,5
1499562652,243.68,243.69,5
1499562653,243.68,243.69,5
1499562654,243.68,243.69,5
1499562655,243.68,243.69,5
1499562656,243.68,243.69,5
1499562657,243.68,243.69,5
1499562658,243.68,243.69,5
1499562659,243.68,243.69,5
1499562660,243.68,243.69,5
